product_id,product_name,brands,energy,saturated_fats,sugars,eco_score_num,nutri_score_num,nova_score_num,product_additive_count
9428,Pollo con verduras y arroz - chef select,chef select,105.00,1.00,0.40,4.00,2.00,4.00,2.00
9429,Crispy dark choco chips - Perle d'or,Perle d'or,533.00,20.00,43.00,,5.00,4.00,2.00
9430,Ravioli 52% relleno5 quesos - Chef Select,Chef Select,297.00,4.70,2.30,,4.00,4.00,1.00
9431,Brotes de soja - Asia Green Garden,Asia Green Garden,16.00,0.10,0.60,1.00,2.00,4.00,3.00
9432,Tostadas a la harina de maíz y arroz. Sin gluten. - Gerblé,Gerblé,383.00,0.30,2.20,2.00,3.00,3.00,
9433,Boite ovale violette bio - Les Anis De Flavigny,Les Anis De Flavigny,398.00,0.00,97.00,2.00,4.00,4.00,
9434,20 hojaldres con salchicha - Carrefour,Carrefour,287.00,9.40,1.70,,,4.00,6.00
9435,Matcha Milk - Tsujiri,Tsujiri,76.00,0.40,14.20,2.00,5.00,4.00,5.00
9436,Shortcrust Pastry Sheet - Jus-Rol,Jus-Rol,422.00,10.50,1.30,3.00,4.00,4.00,3.00
9437,Maccheroncini n.10 - Barilla,Barilla,359.00,0.50,3.50,2.00,1.00,1.00,
9438,Oli Coosur Verge Extra,Coosur,822.00,12.00,0.00,4.00,3.00,2.00,
9439,Pimientos picantes - Ibsa,Ibsa,35.00,0.20,3.50,1.00,1.00,3.00,1.00
9440,Truita de patates i ceba,Bonpreu,146.00,1.40,1.00,3.00,3.00,4.00,4.00
9441,Bolitas de quinoa con agave y cacao,Ecocesta,377.00,2.00,19.00,4.00,1.00,4.00,2.00
9442,Aceite de oliva virgen extra arbequina,Urzante,900.00,15.00,0.00,4.00,4.00,2.00,
9443,Pastel de gloria suprema - Carrefour,"Carrefour, Carrefour sensation",429.00,1.70,54.00,,4.00,4.00,1.00
9444,Escarola Rizada - Carrefour,Carrefour,14.00,0.10,0.30,2.00,1.00,1.00,
9445,Arroz redondo integral - El Corte Inglés,El Corte Inglés,344.00,0.50,0.00,5.00,1.00,1.00,
9446,perlas mozzarella,Toscanella,203.00,14.50,0.80,4.00,4.00,3.00,1.00
9447,Tortillas de maiz - La Reina de las Tortillas,La Reina de las Tortillas,215.00,0.32,5.11,,2.00,4.00,8.00
9448,Pastillas balsámicas Menta - Sawes,Sawes,237.00,0.10,0.00,,2.00,4.00,2.00
9449,Aceituna negra hojiblanca deshuesada - Eliges,Eliges,125.00,2.20,0.00,1.00,3.00,3.00,1.00
9450,"Pan tostado con ajo, perejil y AOVE - Dia",Dia,487.00,2.60,4.00,2.00,3.00,3.00,1.00
9451,Marcelo caramelo - Dia,Dia,346.00,3.40,45.00,4.00,4.00,4.00,6.00
9452,Sorbete limón - Dia,Dia,149.00,1.60,24.30,2.00,3.00,4.00,4.00
9453,Chocolate powder no sugar added - Nestlé,Nestlé,363.00,0.00,27.27,4.00,,4.00,6.00
9454,Bebida de soja con calcio - eliges,Eliges,43.00,0.30,3.00,2.00,1.00,4.00,1.00
9455,Krunchy sun - barnhouse,Barnhouse,447.00,2.10,16.00,4.00,2.00,4.00,
9456,Refresco coca-cola sabor original,Coca-Cola,30.00,0.00,7.50,,5.00,4.00,3.00
9457,Mejillones en Escabeche - Día,Día,233.00,2.60,0.10,3.00,3.00,3.00,
9458,Piña Rodajas en su jugo - Pelli,Pelli,56.00,0.00,13.00,2.00,2.00,1.00,
