product_id,additive_id
825,E140
825,E471
827,E960
828,E526
829,E509
830,E306
830,E330
831,E322
831,E322i
832,E322
832,E322i
833,E322
833,E322i
834,E450
835,E322
835,E322i
835,E330
835,E333
835,E440
837,E322
837,E322i
838,E452
839,E250
839,E252
841,E412
843,E160b
843,E202
843,E331
843,E452
845,E322
845,E322i
845,E500
845,E503
846,E322
846,E322i
847,E330
848,E322
848,E500
848,E502
848,E503
850,E322
850,E322i
851,E322
851,E322i
853,E500
853,E500ii
853,E503
853,E503i
854,E330
856,E322
857,E420
857,E435
857,E464
857,E472
857,E472
857,E942
858,E160c
862,E140
862,E160c
862,E385
864,E252
864,E301
865,E304
865,E306
865,E322
865,E322i
865,E476
865,E500
865,E500ii
865,E503
865,E503ii
865,E965
866,E200
866,E282
866,E300
866,E341
866,E471
866,E472e
866,E481
866,E920
867,E223
867,E330
868,E202
868,E270
868,E330
870,E415
872,E140
873,E140
873,E150a
873,E160a
873,E407
873,E466
873,E950
873,E955
875,E322
875,E322i
875,E500
875,E503
876,E160a
876,E322
876,E330
876,E471
877,E471
878,E250
878,E316
878,E325
878,E407
878,E451
880,E322
880,E322i
880,E503
880,E503ii
881,E385
882,E330
882,E621
882,E627
882,E631
883,E100
883,E120
883,E141
883,E330
883,E331
883,E407
883,E410
883,E950
883,E955
884,E250
884,E316
884,E450
887,E270
887,E322
887,E322i
888,E140
888,E330
888,E333
888,E415
888,E950
888,E951
891,E306
892,E202
892,E407
892,E410
894,E322
894,E322i
895,E202
895,E331
895,E420
895,E420ii
895,E440
895,E950
895,E955
895,E960
896,E160c
896,E621
897,E140
897,E150
897,E330
897,E500
897,E500i
897,E501
897,E501i
897,E621
897,E635
898,E306
898,E500
898,E500ii
898,E503
898,E503ii
899,E965
900,E306
900,E322
900,E322i
900,E500
900,E500ii
900,E503
900,E503ii
900,E965
900,E965ii
901,E300
902,E428
903,E330
903,E440
906,E160
906,E330
906,E471
906,E500
907,E336
907,E415
907,E422
910,E322
910,E322i
910,E500
910,E500ii
910,E503
910,E503ii
911,E322
911,E322i
911,E330
911,E476
911,E500
911,E500i
911,E503
911,E503i
912,E418
913,E120
913,E140
913,E270
913,E412
914,E322
914,E322i
917,E160c
917,E412
917,E461
917,E525
918,E200
920,E392
921,E300
922,E140
923,E140
923,E202
923,E330
923,E334
923,E401
923,E422
923,E450
923,E450i
923,E473
923,E476
923,E492
923,E500
923,E500ii
924,E140
924,E331
926,E250
926,E300
926,E460
929,E223
929,E304
929,E306
929,E322
929,E322i
929,E500
929,E500ii
929,E502
930,E412
931,E330
931,E440
931,E950
931,E955
932,E250
932,E301
932,E407
932,E451
932,E451i
933,E160c
933,E415
934,E296
934,E319
934,E320
934,E451
934,E452
934,E466
934,E500
934,E621
934,E635
936,E250
936,E301
936,E330
936,E331
936,E331iii
936,E407
936,E451
936,E451i
938,E270
938,E300
940,E300
941,E140
941,E407
942,E322
942,E322i
944,E407
944,E412
944,E471
944,E501
945,E202
945,E322
945,E322i
945,E341
945,E341i
946,E392
946,E412
946,E471
946,E500
946,E500ii
947,E327
947,E330
947,E418
947,E466
947,E950
947,E960
948,E418
949,E322
949,E322i
950,E140
951,E418
953,E422
953,E476
954,E140
954,E160a
955,E160a
955,E160ai
955,E202
955,E296
955,E300
955,E330
955,E331
955,E414
955,E950
955,E951
956,E476
956,E502
957,E202
957,E330
957,E440
958,E322
958,E322i
959,E412
962,E330
963,E140
963,E407
963,E950
963,E955
964,E140
964,E150a
964,E440
964,E950
964,E955
970,E322
970,E422
971,E150
971,E330
971,E331
971,E950
971,E951
973,E150
973,E150d
973,E200
973,E202
973,E211
973,E300
973,E331
973,E570
974,E304
974,E306
974,E330
974,E331
974,E440
975,E330
976,E407
976,E450
981,E621
981,E627
981,E631
982,E322
982,E322i
984,E300
984,E330
985,E330
986,E200
986,E330
986,E579
987,E440
988,E338
988,E472c
989,E471
992,E322
992,E322i
992,E471
993,E100
993,E120
993,E133
993,E1400
993,E160a
993,E160e
993,E171
993,E322
993,E322i
993,E414
993,E903
994,E100
994,E120
994,E133
994,E1400
994,E160a
994,E160e
994,E170
994,E414
994,E903
995,E322
995,E322i
995,E500
995,E500ii
995,E503
995,E503ii
996,E322
996,E322i
996,E904
996,E965
996,E965ii
1000,E200
1000,E282
1000,E300
1000,E341
1000,E471
1000,E472e
1000,E481
1000,E920
1002,E464
1003,E322
1003,E965
1003,E966
1004,E306
1005,E322
1005,E322i
1005,E341
1005,E341ii
1005,E950
1005,E951
1006,E202
1006,E420
1006,E450
1006,E450i
1006,E500
1009,E1400
1010,E160
1010,E300
1010,E471
1011,E140
1011,E260
1011,E450
1011,E500
1013,E471
1014,E500
1014,E500ii
1015,E322
1015,E322i
1016,E322
1016,E322i
1017,E160c
1017,E330
1017,E621
1019,E330
1020,E160a
1020,E160ai
1020,E385
1022,E300
1023,E202
1023,E270
1023,E300
1023,E330
1024,E322
1024,E500
1024,E500ii
1024,E503
1024,E503ii
1025,E322
1025,E322i
1025,E502
1026,E322
1026,E407
1026,E410
1026,E412
1026,E417
1026,E471
1026,E476
1026,E500
1027,E322
1028,E621
1028,E635
1029,E500
1029,E503
1030,E141
1030,E141i
1030,E322
1030,E322i
1030,E420
1032,E422
1033,E322
1033,E330
1033,E415
1033,E422
1033,E450
1034,E575
1035,E300
1035,E322
1035,E472e
1036,E223
1036,E322
1036,E322i
1036,E500
1036,E500ii
1036,E503
1036,E503ii
1036,E965
1037,E950
1037,E955
1038,E140
1038,E202
1038,E300
1038,E407
1039,E451
1039,E460
1039,E466
1040,E202
1040,E300
1040,E330
1040,E440
1041,E100
1041,E140
1041,E160b
1041,E331
1041,E331iii
1041,E407
1042,E322
1042,E322i
1043,E160a
1043,E322
1043,E322i
1043,E407
1043,E410
1043,E412
1043,E471
1043,E476
1044,E270
1044,E412
1044,E415
1046,E200
1046,E282
1046,E300
1046,E412
1046,E471
1046,E481
1047,E160c
1047,E296
1047,E322
1047,E322i
1047,E330
1048,E133
1048,E163
1048,E297
1048,E330
1048,E331
1048,E428
1048,E950
1048,E951
1048,E955
1048,E965
1049,E261
1049,E461
1053,E270
1054,E202
1056,E224
1056,E415
1056,E466
1056,E471
1057,E160a
1057,E202
1057,E339
1057,E452
1058,E330
1058,E950
1058,E955
1059,E415
1061,E322
1061,E322i
1062,E322
1062,E322i
1062,E955
1062,E960
1063,E330
1065,E250
1065,E262
1065,E316
1065,E407a
1065,E412
1065,E420
1065,E450
1065,E451
1065,E508
1066,E428
1066,E950
1066,E955
1069,E322
1069,E322i
1069,E500
1069,E500ii
1069,E502
1072,E322
1072,E500
1072,E500ii
1073,E322
1073,E322i
1073,E422
1073,E955
1073,E965
1074,E202
1074,E211
1074,E296
1074,E330
1074,E331
1074,E332
1074,E401
1074,E414
1074,E415
1074,E955
1075,E300
1075,E330
1075,E331
1075,E331i
1076,E407
1076,E466
1076,E950
1077,E339
1077,E339iii
1078,E440
1079,E160b
1079,E160c
1079,E270
1079,E330
1079,E621
1080,E331
1080,E440
1080,E950
1080,E955
1081,E300
1081,E461
1082,E300
1083,E471
1084,E1200
1084,E322
1084,E450
1084,E472e
1084,E500
1084,E503
1085,E322
1085,E322i
1086,E322
1086,E334
1086,E500
1086,E503
1088,E500
1088,E500ii
1090,E322
1090,E322i
1093,E160
1093,E306
1093,E322
1093,E322i
1095,E160a
