,Product Name,Brands,NOVA 4,Nutri-Score,Countries,Additives,Eco-Score,Energía,Grasas saturadas,Azúcares
656,IronMaxx Protein Bar - - 45 g,"u, n, k, n, o, w, n",Alimentos ultraprocesados,D,"Alemania, Hungría, Italia, Portugal, España","E322 - Lecitinas, E422 - Glicerol, E955 - Sucralosa, E965 - Maltitol",El Eco-Score no pudo ser calculado,1585 kj(377 kcal),"5,9 g","1,8 g"
657,Galletas rellenas con Chocolate negro - Carrefour Bio - 185 g,"Carrefour Bio, Carrefour",Alimentos ultraprocesados,E,"Francia, Italia, España, fr:Francia","E414 - Goma arábiga, E500 - Carbonatos de sodio, E503 - Carbonatos de amonio",Eco-Score C,2015 kj(480 kcal),11 g,29 g
658,Pistachos tostados - Carrefour - 150 g,Carrefour,Alimentos procesados,A,"Bélgica, Francia, Italia, Polonia, España","u, n, k, n, o, w, n",Eco-Score D,2529 kj(611 kcal),"6,1 g",7 g
659,CHOCOLATE 90% Cacao - Carrefour - 80 g [e,Carrefour,Alimentos ultraprocesados,D,"Francia, Italia, España, fr:Francia","u, n, k, n, o, w, n",Eco-Score D,2569 kj(622 kcal),34 g,"9,7 g"
660,Gewürzgurken - Kühne - 360g,Kühne,Alimentos ultraprocesados,C,"Bélgica, Alemania, España","u, n, k, n, o, w, n",El Eco-Score no pudo ser calculado,126 kj(30 kcal),"0,1 g","4,7 g"
661,Nākd. Cocoa delight - Nakd - 4 x 35 g,Nakd,Alimentos procesados,B,"Bélgica, República Checa, Francia, España","u, n, k, n, o, w, n",El Eco-Score no pudo ser calculado,1615 kj(386 kcal),"3,1 g","45,3 g"
662,Chocolate con leche extrafino - Nestlé - 125 g,Nestlé,Alimentos ultraprocesados,E,España,"E322 - Lecitinas, E322i - Lecitina",Eco-Score C,2263 kj(542 kcal),"17,7 g","57,8 g"
663,Oreo Original - pièces,Oreo,Alimentos ultraprocesados,E,"Francia, Portugal, España","E322 - Lecitinas, E322i - Lecitina, E502 - Carbonatos",Eco-Score D,2010 kj(474 kcal),"5,2 g",38 g
664,Bien Star pechuga de pavo - ElPozo - 86g,ElPozo,Alimentos ultraprocesados,B,"Andorra, España","E250 - Nitrito sódico, E316 - Eritorbato sódico, E331 - Citratos de sodio, E407 - Carragenatos, E450 - Difosfatos",Eco-Score D,316 kj(75 kcal),"0,1 g","0,5 g"
665,Pan redondo 5 semillas - Mercadona - 500g,Mercadona,Alimentos ultraprocesados,A,"Francia, España","E200 - Ácido sórbico, E282 - Propionato de calcio, E300 - Ácido ascórbico, E412 - Goma guar",El Eco-Score no pudo ser calculado,1125 kj(274 kcal),"0,7 g","2,4 g"
666,Batido proteínas Whey Hacendado - 330ml,Hacendado,Alimentos ultraprocesados,C,España,"E331 - Citratos de sodio, E407 - Carragenatos, E418 - Goma gellan, E955 - Sucralosa",El Eco-Score no pudo ser calculado,188 kj(45 kcal),"0,5 g","2,2 g"
667,Crema verduras - Hacendado,Hacendado,Alimentos procesados,B,España,"u, n, k, n, o, w, n",Eco-Score B,159 kj(38 kcal),"0,2 g","0,6 g"
668,Pan integral de centeno - Rowan Hill - 500 g,"Rowan Hill, Grafschafter, Lidl",Alimentos ultraprocesados,A,"Alemania, Eslovenia, España","u, n, k, n, o, w, n",Eco-Score A,886 kj(210 kcal),"0,3 g","3,9 g"
669,Lindt Excellence Dark Orange Intense - 100 g,"Lindt, Excellence",Alimentos ultraprocesados,E,"Bolivia, República Checa, Dinamarca, Estonia, Francia, Hungría, Italia, Países Bajos, España, Suiza, Tailandia, Reino Unido","E322 - Lecitinas, E322i - Lecitina, E440 - Pectinas",Eco-Score A,2228 kj(534 kcal),"17,1 g","46,2 g"
670,Muesli - Carrefour - 750 g,Carrefour,Alimentos ultraprocesados,D,"Francia, Italia, Martinica, Marruecos, España",E471 - Mono- y diglicéridos de ácidos grasos,Eco-Score C,1868 kj(445 kcal),"7,2 g",20 g
671,Yogur natural - Carrefour - 500 g (4 x 125 g),Carrefour,Alimentos ultraprocesados,A,"Francia, España","u, n, k, n, o, w, n",Eco-Score A,180 kj(43 kcal),"0,7 g","4,2 g"
672,Leche semidesnatada - Pascual - 1 L,Pascual,Alimentos no procesados o mínimamente procesados,B,España,"u, n, k, n, o, w, n",Eco-Score D,192 kj(46 kcal),"1,1 g","4,9 g"
673,Galleta ligera sin sal y sin azúcar - Gullon - 80 g,Gullon,Alimentos ultraprocesados,B,"Francia, Marruecos, España","E224 - Metabisulfito potásico, E322 - Lecitinas, E322i - Lecitina, E501 - Carbonatos de potasio, E501ii - Bicarbonato de potasio, E503 - Carbonatos de amonio, E503ii - Bicarbonato de amonio, E965 - Maltitol",Eco-Score C,1707 kj(408 kcal),"1,5 g","2,8 g"
674,Gazpacho fresco - Hacendado,Hacendado,Alimentos procesados,C,España,"u, n, k, n, o, w, n",Eco-Score B,314 kj(75 kcal),"1,3 g","1,5 g"
675,Gazpacho Tradicional - Hacendado - 330 ml,Hacendado,Alimentos procesados,A,España,"u, n, k, n, o, w, n",Eco-Score B,183 kj(44 kcal),"0,4 g","3,4 g"
676,Pechuga de pavo al corte - Hacendado - 200 g,Hacendado,Alimentos ultraprocesados,C,España,"E250 - Nitrito sódico, E301 - Ascorbato sódico, E407 - Carragenatos, E451 - Tripolifosfatos, E451i - Trifosfato de pentasodio",Eco-Score D,331 kj(79 kcal),"0,2 g","0,6 g"
677,Puffasztott Barna Rizs - Rice up! - 120 g,Rice up!,Nivel de procesamiento de alimentos desconocido,C,"Bulgaria, Francia, Hungría, España","u, n, k, n, o, w, n",Eco-Score C,1576 kj(373 kcal),6 g,"3,1 g"
678,Avena - Quaker - 500 g,Quaker,Alimentos no procesados o mínimamente procesados,A,"Francia, Portugal, España","u, n, k, n, o, w, n",Eco-Score B,1565 kj(374 kcal),"1,5 g","1,1 g"
